#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_akukas;Akukas;Akukas;Akukas;;Akukas;;;;;;;;;x
c_akukas_adj;Akukasian;;akukaser;;;;;;;;;;;x
c_bazae;Bazae;Bazae;Bazae;;Bazae;;;;;;;;;x
c_bazae_adj;Bazaean;;bazer;;;;;;;;;;;x
c_bazyako;Bazyako;Bazyako;Bazyako;;Bazyako;;;;;;;;;x
c_bazyako_adj;Bazyakian;;bazyaker;;;;;;;;;;;x
c_benelen;Benelen;Benelen;Benelen;;Benelen;;;;;;;;;x
c_benelen_adj;Benelenian;;benelener;;;;;;;;;;;x
c_besiks;Besiks;Besiks;Besiks;;Besiks;;;;;;;;;x
c_besiks_adj;Besiksian;;besikser;;;;;;;;;;;x
c_biacka;Biacka;Biacka;Biacka;;Biacka;;;;;;;;;x
c_biacka_adj;Biackan;;biacker;;;;;;;;;;;x
c_donayaka;Donayaka;Donayaka;Donayaka;;Donayaka;;;;;;;;;x
c_donayaka_adj;Donayakan;;donayaker;;;;;;;;;;;x
c_ebune;Ebune;Ebune;Ebune;;Ebune;;;;;;;;;x
c_ebune_adj;Ebunean;;ebuner;;;;;;;;;;;x
c_kya;Kya;Kya;Kya;;Kya;;;;;;;;;x
c_kya_adj;Kyan;;ker;;;;;;;;;;;x
c_lekudo;Lekudo;Lekudo;Lekudo;;Lekudo;;;;;;;;;x
c_lekudo_adj;Lekudian;;lekuder;;;;;;;;;;;x
c_lesperaxpe;Lesperaxpe;Lesperaxpe;Lesperaxpe;;Lesperaxpe;;;;;;;;;x
c_lesperaxpe_adj;Lesperaxpean;;lesperaxper;;;;;;;;;;;x
c_liks;Liks;Liks;Liks;;Liks;;;;;;;;;x
c_liks_adj;Liksian;;likser;;;;;;;;;;;x
c_lorabra;Lorabra;Lorabra;Lorabra;;Lorabra;;;;;;;;;x
c_lorabra_adj;Lorabran;;lorabrer;;;;;;;;;;;x
c_nosiks;Nosiks;Nosiks;Nosiks;;Nosiks;;;;;;;;;x
c_nosiks_adj;Nosiksian;;nosikser;;;;;;;;;;;x
c_qamyako;Qamyako;Qamyako;Qamyako;;Qamyako;;;;;;;;;x
c_qamyako_adj;Qamyakian;;qamyaker;;;;;;;;;;;x
c_qinappa;Qinappa;Qinappa;Qinappa;;Qinappa;;;;;;;;;x
c_qinappa_adj;Qinappan;;qinapper;;;;;;;;;;;x
c_qorelen;Qorelen;Qorelen;Qorelen;;Qorelen;;;;;;;;;x
c_qorelen_adj;Qorelenian;;qorelener;;;;;;;;;;;x
c_qyehala;Qyehala;Qyehala;Qyehala;;Qyehala;;;;;;;;;x
c_qyehala_adj;Qyehalan;;qyehaler;;;;;;;;;;;x
c_rasork;Rasork;Rasork;Rasork;;Rasork;;;;;;;;;x
c_rasork_adj;Rasorkian;;rasorker;;;;;;;;;;;x
c_riks;Riks;Riks;Riks;;Riks;;;;;;;;;x
c_riks_adj;Riksian;;rikser;;;;;;;;;;;x
c_rudo;Rudo;Rudo;Rudo;;Rudo;;;;;;;;;x
c_rudo_adj;Rudian;;ruder;;;;;;;;;;;x
c_ryako;Ryako;Ryako;Ryako;;Ryako;;;;;;;;;x
c_ryako_adj;Ryakian;;ryaker;;;;;;;;;;;x
c_silatti;Silatti;Silatti;Silatti;;Silatti;;;;;;;;;x
c_silatti_adj;Silattian;;silatter;;;;;;;;;;;x
c_tazae;Tazae;Tazae;Tazae;;Tazae;;;;;;;;;x
c_tazae_adj;Tazaean;;tazer;;;;;;;;;;;x
c_toluge;Toluge;Toluge;Toluge;;Toluge;;;;;;;;;x
c_toluge_adj;Tolugean;;toluger;;;;;;;;;;;x
c_tosyape;Tosyape;Tosyape;Tosyape;;Tosyape;;;;;;;;;x
c_tosyape_adj;Tosyapean;;tosyaper;;;;;;;;;;;x
c_tukage;Tukage;Tukage;Tukage;;Tukage;;;;;;;;;x
c_tukage_adj;Tukagean;;tukager;;;;;;;;;;;x
c_wilage;Wilage;Wilage;Wilage;;Wilage;;;;;;;;;x
c_wilage_adj;Wilagean;;wilager;;;;;;;;;;;x
c_winayya;Winayya;Winayya;Winayya;;Winayya;;;;;;;;;x
c_winayya_adj;Winayyan;;winaer;;;;;;;;;;;x
c_wyarappa;Wyarappa;Wyarappa;Wyarappa;;Wyarappa;;;;;;;;;x
c_wyarappa_adj;Wyarappan;;wyarapper;;;;;;;;;;;x
