PROV4;Lecase;lecase;lecase;;;;;;;;;x
PROV5;Rugili;rugili;rugili;;;;;;;;;x
PROV6;Ejosase;ejosase;ejosase;;;;;;;;;x
PROV7;Tuhunas;tuhunas;tuhunas;;;;;;;;;x
PROV8;Taraslan;taraslan;taraslan;;;;;;;;;x
PROV39;Wepevag;wepevag;wepevag;;;;;;;;;x
PROV41;Kecin;kecin;kecin;;;;;;;;;x
PROV42;Ekenugor;ekenugor;ekenugor;;;;;;;;;x
PROV43;Lenane;lenane;lenane;;;;;;;;;x
PROV44;Ramar;ramar;ramar;;;;;;;;;x
PROV45;Tauhdun;tauhdun;tauhdun;;;;;;;;;x
PROV46;Agoukh;agoukh;agoukh;;;;;;;;;x
PROV47;Suzyros;suzyros;suzyros;;;;;;;;;x
PROV48;Tubeid;tubeid;tubeid;;;;;;;;;x
PROV49;Ekegelg;ekegelg;ekegelg;;;;;;;;;x
PROV50;Nalelg;nalelg;nalelg;;;;;;;;;x
PROV51;Begaleid;begaleid;begaleid;;;;;;;;;x
PROV52;Kinine;kinine;kinine;;;;;;;;;x
PROV53;Teselg;teselg;teselg;;;;;;;;;x
PROV54;Bimar;bimar;bimar;;;;;;;;;x
PROV55;Tetatti;tetatti;tetatti;;;;;;;;;x
PROV56;Rubine;rubine;rubine;;;;;;;;;x
PROV57;Ligrica;ligrica;ligrica;;;;;;;;;x
PROV58;Raijar;raijar;raijar;;;;;;;;;x
PROV59;Tesilk;tesilk;tesilk;;;;;;;;;x
PROV60;Dinoukh;dinoukh;dinoukh;;;;;;;;;x
PROV61;Dinahus;dinahus;dinahus;;;;;;;;;x
PROV62;Reseya;reseya;reseya;;;;;;;;;x
PROV63;Rergia;rergia;rergia;;;;;;;;;x
PROV64;Kyiliho;kyiliho;kyiliho;;;;;;;;;x
PROV65;Sotos;sotos;sotos;;;;;;;;;x
PROV66;Arinim;arinim;arinim;;;;;;;;;x
PROV67;Lesine;lesine;lesine;;;;;;;;;x
PROV68;Kineid;kineid;kineid;;;;;;;;;x
PROV69;Kepetam;kepetam;kepetam;;;;;;;;;x
PROV70;Emalan;emalan;emalan;;;;;;;;;x
PROV71;Ezyros;ezyros;ezyros;;;;;;;;;x
PROV72;Nilili;nilili;nilili;;;;;;;;;x
PROV73;Dalamc;dalamc;dalamc;;;;;;;;;x
PROV74;Tonili;tonili;tonili;;;;;;;;;x
PROV75;Necamc;necamc;necamc;;;;;;;;;x
PROV76;Recane;recane;recane;;;;;;;;;x
PROV77;Sililen;sililen;sililen;;;;;;;;;x
PROV78;Kuzawtus;kuzawtus;kuzawtus;;;;;;;;;x
PROV1066;Qepaura;qepaura;qepaura;;;;;;;;;x
